Parallel Verification Time in microseconds
Claims  Verification Time
(001)   22632
(002)   22929
(003)   25198
(004)   24429
(005)   24937
(006)   25455
(007)   26925
(008)   32801
(009)   32585
(010)   35283
(011)   36095
(012)   36071
(013)   38259
(014)   37748
(015)   37142
(016)   39272
(017)   39462
(018)   40417
(019)   40883
(020)   41302
(021)   45578
(022)   43251
(023)   43244
(024)   43262
(025)   46101
(026)   48410
(027)   48780
(028)   51274
(029)   50911
(030)   55551
(031)   53970
(032)   54813
(033)   56960
(034)   59115
(035)   58427
(036)   59878
(037)   58939
(038)   61567
(039)   66768
(040)   65447
(041)   68727
(042)   66947
(043)   69583
(044)   74493
(045)   72935
(046)   78908
(047)   78502
(048)   78229
(049)   81533
(050)   78169
(051)   78276
(052)   82871
(053)   82022
(054)   84491
(055)   86572
(056)   87092
(057)   88691
(058)   87509
(059)   90140
(060)   91037
(061)   92721
(062)   93228
(063)   97412
(064)   97610
(065)   98872
(066)   93909
(067)   96505
(068)   99384
(069)   105446
(070)   99846
(071)   102175
(072)   103367
(073)   104003
(074)   108389
(075)   110306
(076)   108382
(077)   113209
(078)   114091
(079)   114054
(080)   115467
(081)   115955
(082)   114448
(083)   115115
(084)   116081
(085)   117362
(086)   119239
(087)   118991
(088)   122768
(089)   123549
(090)   123334
(091)   122736
(092)   125032
(093)   130701
(094)   129505
(095)   127730
(096)   131934
(097)   132785
(098)   133208
(099)   133396
(100)   133739
