Sequential Verification Time in microseconds
Claims  Verification Time
(001)   22638
(002)   39155
(003)   53994
(004)   69195
(005)   87538
(006)   102618
(007)   116274
(008)   131756
(009)   147594
(010)   167158
(011)   185090
(012)   192526
(013)   210327
(014)   229765
(015)   240245
(016)   251699
(017)   268934
(018)   284305
(019)   298580
(020)   315259
(021)   329790
(022)   344310
(023)   360853
(024)   375816
(025)   390965
(026)   405450
(027)   420537
(028)   437508
(029)   453623
(030)   467271
(031)   483474
(032)   498134
(033)   514698
(034)   529936
(035)   543802
(036)   559235
(037)   576178
(038)   589973
(039)   605762
(040)   622403
(041)   636436
(042)   660962
(043)   669990
(044)   680973
(045)   698890
(046)   712747
(047)   730074
(048)   743935
(049)   761306
(050)   774686
(051)   789643
(052)   806007
(053)   819167
(054)   836336
(055)   852903
(056)   867860
(057)   883601
(058)   927224
(059)   946211
(060)   931980
(061)   943200
(062)   961784
(063)   981708
(064)   990862
(065)   1007018
(066)   1022475
(067)   1041243
(068)   1053810
(069)   1066868
(070)   1082083
(071)   1097557
(072)   1114911
(073)   1131604
(074)   1145661
(075)   1172625
(076)   1176226
(077)   1194918
(078)   1207990
(079)   1227469
(080)   1237729
(081)   1254820
(082)   1271449
(083)   1282467
(084)   1301247
(085)   1314783
(086)   1350040
(087)   1366034
(088)   1364631
(089)   1373318
(090)   1389811
(091)   1404077
(092)   1418525
(093)   1435430
(094)   1448162
(095)   1467053
(096)   1479790
(097)   1502839
(098)   1515186
(099)   1530129
(100)   1542498
