Simulated size of generated VC per number of claims (From 1 to 100):
(Both hashes and witnesses have redundant encoding because they have to be in a "human reading" format)
Claims  [WVC]   [CSD-JWT]       [Total]         [SVC]   [SD-JWT]        [Total]
(001)   72      212             284             64      60              124
(002)   144     212             356             128     103             231
(003)   216     212             428             192     146             338
(004)   288     212             500             256     189             445
(005)   360     212             572             320     232             552
(006)   432     212             644             384     275             659
(007)   504     212             716             448     318             766
(008)   576     212             788             512     361             873
(009)   648     212             860             576     404             980
(010)   720     212             932             640     447             1087
(011)   794     212             1006            706     490             1196
(012)   868     212             1080            772     533             1305
(013)   942     212             1154            838     576             1414
(014)   1016    212             1228            904     619             1523
(015)   1090    212             1302            970     662             1632
(016)   1164    212             1376            1036    705             1741
(017)   1238    212             1450            1102    748             1850
(018)   1312    212             1524            1168    791             1959
(019)   1386    212             1598            1234    834             2068
(020)   1460    212             1672            1300    877             2177
(021)   1534    212             1746            1366    920             2286
(022)   1608    212             1820            1432    963             2395
(023)   1682    212             1894            1498    1006            2504
(024)   1756    212             1968            1564    1049            2613
(025)   1830    212             2042            1630    1092            2722
(026)   1904    212             2116            1696    1135            2831
(027)   1978    212             2190            1762    1178            2940
(028)   2052    212             2264            1828    1221            3049
(029)   2126    212             2338            1894    1264            3158
(030)   2200    212             2412            1960    1307            3267
(031)   2274    212             2486            2026    1350            3376
(032)   2348    212             2560            2092    1393            3485
(033)   2422    212             2634            2158    1436            3594
(034)   2496    212             2708            2224    1479            3703
(035)   2570    212             2782            2290    1522            3812
(036)   2644    212             2856            2356    1565            3921
(037)   2718    212             2930            2422    1608            4030
(038)   2792    212             3004            2488    1651            4139
(039)   2866    212             3078            2554    1694            4248
(040)   2940    212             3152            2620    1737            4357
(041)   3014    212             3226            2686    1780            4466
(042)   3088    212             3300            2752    1823            4575
(043)   3162    212             3374            2818    1866            4684
(044)   3236    212             3448            2884    1909            4793
(045)   3310    212             3522            2950    1952            4902
(046)   3384    212             3596            3016    1995            5011
(047)   3458    212             3670            3082    2038            5120
(048)   3532    212             3744            3148    2081            5229
(049)   3606    212             3818            3214    2124            5338
(050)   3680    212             3892            3280    2167            5447
(051)   3754    212             3966            3346    2210            5556
(052)   3828    212             4040            3412    2253            5665
(053)   3902    212             4114            3478    2296            5774
(054)   3976    212             4188            3544    2339            5883
(055)   4050    212             4262            3610    2382            5992
(056)   4124    212             4336            3676    2425            6101
(057)   4198    212             4410            3742    2468            6210
(058)   4272    212             4484            3808    2511            6319
(059)   4346    212             4558            3874    2554            6428
(060)   4420    212             4632            3940    2597            6537
(061)   4494    212             4706            4006    2640            6646
(062)   4568    212             4780            4072    2683            6755
(063)   4642    212             4854            4138    2726            6864
(064)   4716    212             4928            4204    2769            6973
(065)   4790    212             5002            4270    2812            7082
(066)   4864    212             5076            4336    2855            7191
(067)   4938    212             5150            4402    2898            7300
(068)   5012    212             5224            4468    2941            7409
(069)   5086    212             5298            4534    2984            7518
(070)   5160    212             5372            4600    3027            7627
(071)   5234    212             5446            4666    3070            7736
(072)   5308    212             5520            4732    3113            7845
(073)   5382    212             5594            4798    3156            7954
(074)   5456    212             5668            4864    3199            8063
(075)   5530    212             5742            4930    3242            8172
(076)   5604    212             5816            4996    3285            8281
(077)   5678    212             5890            5062    3328            8390
(078)   5752    212             5964            5128    3371            8499
(079)   5826    212             6038            5194    3414            8608
(080)   5900    212             6112            5260    3457            8717
(081)   5974    212             6186            5326    3500            8826
(082)   6048    212             6260            5392    3543            8935
(083)   6122    212             6334            5458    3586            9044
(084)   6196    212             6408            5524    3629            9153
(085)   6270    212             6482            5590    3672            9262
(086)   6344    212             6556            5656    3715            9371
(087)   6418    212             6630            5722    3758            9480
(088)   6492    212             6704            5788    3801            9589
(089)   6566    212             6778            5854    3844            9698
(090)   6640    212             6852            5920    3887            9807
(091)   6714    212             6926            5986    3930            9916
(092)   6788    212             7000            6052    3973            10025
(093)   6862    212             7074            6118    4016            10134
(094)   6936    212             7148            6184    4059            10243
(095)   7010    212             7222            6250    4102            10352
(096)   7084    212             7296            6316    4145            10461
(097)   7158    212             7370            6382    4188            10570
(098)   7232    212             7444            6448    4231            10679
(099)   7306    212             7518            6514    4274            10788
(100)   7380    212             7592            6580    4317            10897
